,product_title,ships_from_to,grams,quality,btc_price,cost_per_gram,cost_per_gram_pure,,escrow,product_link,vendor_link,vendor_name,successful_transactions,rating,ships_from,ships_to,ships_to_US,ships_from_US,ships_to_NL,ships_from_NL,ships_to_FR,ships_from_FR,ships_to_GB,ships_from_GB,ships_to_CA,ships_from_CA,ships_to_DE,ships_from_DE,ships_to_AU,ships_from_AU,ships_to_EU,ships_from_EU,ships_to_ES,ships_from_ES,ships_to_N. America,ships_from_N. America,ships_to_BE,ships_from_BE,ships_to_WW,ships_from_WW,ships_to_SI,ships_from_SI,ships_to_IT,ships_from_IT,ships_to_DK,ships_from_DK,ships_to_S. America,ships_from_S. America,ships_to_CH,ships_from_CH,ships_to_BR,ships_from_BR,ships_to_CZ,ships_from_CZ,ships_to_SE,ships_from_SE,ships_to_CO,ships_from_CO,ships_to_CN,ships_from_CN,ships_to_PL,ships_from_PL,ships_to_GR,ships_from_GR
61,***** 2 gm uk to uk sociable cocaine 75% pure,GB  â†’ GB,2,75,0.0352,0.0176,0.023466667,,1,http://lchudifyeqm4ldjj.onion/viewProduct?offer=225853.266531,http://lchudifyeqm4ldjj.onion/contactMember?member=cocaineuk,cocaineuk,380,4.93,GB,GB,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
62,***** 28 gm uk to uk sociable cocaine 75% pure,GB  â†’ GB,28,75,0.3698,0.013207143,0.017609524,,1,http://lchudifyeqm4ldjj.onion/viewProduct?offer=80812.847276,http://lchudifyeqm4ldjj.onion/contactMember?member=cocaineuk,cocaineuk,380,4.93,GB,GB,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
63,***** 2gram uk to uk pure perivian flake 95%,GB  â†’ GB,2,95,0.0616,0.0308,0.032421053,,1,http://lchudifyeqm4ldjj.onion/viewProduct?offer=654234.964671,http://lchudifyeqm4ldjj.onion/contactMember?member=cocaineuk,cocaineuk,380,4.93,GB,GB,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
64,***** 3.5 gm uk to uk sociable cocaine 75% pure,GB  â†’ GB,3.5,75,0.0557,0.015914286,0.021219048,,1,http://lchudifyeqm4ldjj.onion/viewProduct?offer=696992.167313,http://lchudifyeqm4ldjj.onion/contactMember?member=cocaineuk,cocaineuk,380,4.93,GB,GB,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
65,***** 3.5 gram uk to uk pure perivian flake 95%,GB  â†’ GB,3.5,95,0.1027,0.029342857,0.030887218,,1,http://lchudifyeqm4ldjj.onion/viewProduct?offer=228321.26426,http://lchudifyeqm4ldjj.onion/contactMember?member=cocaineuk,cocaineuk,380,4.93,GB,GB,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
66,***** 5 gm uk to uk sociable cocaine 75% pure,GB  â†’ GB,5,75,0.0886,0.01772,0.023626667,,1,http://lchudifyeqm4ldjj.onion/viewProduct?offer=915504.149492,http://lchudifyeqm4ldjj.onion/contactMember?member=cocaineuk,cocaineuk,380,4.93,GB,GB,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
67,***** 7 gm uk to uk sociable cocaine 75% pure,GB  â†’ GB,7,75,0.1086,0.015514286,0.020685714,,1,http://lchudifyeqm4ldjj.onion/viewProduct?offer=193725.274480,http://lchudifyeqm4ldjj.onion/contactMember?member=cocaineuk,cocaineuk,380,4.93,GB,GB,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
68,***** FREEBIE 0.2 gm uk to uk sociable 75% pure,GB  â†’ GB,0.2,75,0.00586,0.0293,0.039066667,,1,http://lchudifyeqm4ldjj.onion/viewProduct?offer=918297.356524,http://lchudifyeqm4ldjj.onion/contactMember?member=cocaineuk,cocaineuk,380,4.93,GB,GB,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
70,*****14 gram uk to uk pure perivian flake 95%,GB  â†’ GB,14,95,0.387,0.027642857,0.029097744,,1,http://lchudifyeqm4ldjj.onion/viewProduct?offer=761173.284793,http://lchudifyeqm4ldjj.onion/contactMember?member=cocaineuk,cocaineuk,380,4.93,GB,GB,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
71,*****7 gram uk to uk pure perivian flake 95%,GB  â†’ GB,7,95,0.1995,0.0285,0.03,,1,http://lchudifyeqm4ldjj.onion/viewProduct?offer=443039.285376,http://lchudifyeqm4ldjj.onion/contactMember?member=cocaineuk,cocaineuk,380,4.93,GB,GB,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
73,***Best Cocaine*** UNCUT 90% 100g,"DE  â†’ DE, EU",100,90,2.47,0.0247,0.027444444,,1,http://lchudifyeqm4ldjj.onion/viewProduct?offer=673042.652090,http://lchudifyeqm4ldjj.onion/contactMember?member=Barrio,Barrio,100,5,DE,"DE, EU",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
74,***Best Cocaine*** UNCUT 90% 10g,"DE  â†’ DE, EU",10,90,0.2577,0.02577,0.028633333,,1,http://lchudifyeqm4ldjj.onion/viewProduct?offer=305057.937943,http://lchudifyeqm4ldjj.onion/contactMember?member=Barrio,Barrio,100,5,DE,"DE, EU",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
75,***Best Cocaine*** UNCUT 90% 1g,"DE  â†’ DE, EU",1,90,0.0283,0.0283,0.031444444,,1,http://lchudifyeqm4ldjj.onion/viewProduct?offer=765125.162189,http://lchudifyeqm4ldjj.onion/contactMember?member=Barrio,Barrio,100,5,DE,"DE, EU",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
